MN,1,0,1,1,1,1,0,0,0,0.5
MI,0,0,0,0,0,0,0,0,0,0
MO,0,0,0,0,0,0,0,0,0,0
MT,1,0,0,1,1,0,0,1,0,0
NE,0,0,0,0,0,0,0.5,0,0,0
NV,1,0,0,1,0,0,0.5,0.5,0,0
NH,1,0,1,1,1,1,0,0,0,0
NJ,1,1,1,1,0,1,,0,1,1
NM,,,,,,,,,,
NY,1,0,1,1,0,1,,0,1,1
NC,,,,,,,,,,
ND,,,,,,,,,,
OH,,,,,,,,,,
OK,,,,,,,,,,
OR,1,0,1,1,1,1,,1,1,1
PE,,,,,,,,,,
RI,1,1,1,1,1,1,1,1,1,1
SC,,,,,,,,,,
SD,,,,,,,,,,
TN,,,,,,,,,,
TX,,,,,,,,,,
UT,,,,,,,,,,
VT,1,1,1,1,1,1,,1,1,1
VI,,,,,,,,,,
WA,1,1,1,1,1,1,1,1,1,1
WV,,,,,,,,,,
WI,,,,,,,,,,
WY,,,,,,,,,,
